,Freq,ymove,zmove,xmove,k,L1,L2,R1,R2,sim_eff_max,sim_optimal_load,calc_eff_max,calc_optimal_load
33,6.78,0,100,-50,0.0257171153738209,2.1483089127667,3.65456173269612,488.9186618,660.4471482,0.6979551514744474,3.6,0.6920163373203807,3.6283981915414896
34,6.78,0,100,0,0.0347402547549425,2.16462578930178,3.48847685827453,489.0374536,612.0583006,0.7712712881483997,4.6000000000000005,0.7647144751410787,4.59062725319252
35,6.78,0,100,50,0.0263408300661928,2.16299192583724,3.44397297037108,488.6535809,560.8306324,0.7177180517730436,3.3000000000000003,0.7116150296033614,3.3286274876167643
36,6.78,0,100,100,0.0093811873675746,2.15692016852508,3.43094846383322,489.8788796,509.4589754,0.4143831856628284,1.2000000000000002,0.410886959517237,1.220120716071475
37,6.78,50,100,-100,0.0064755778858473,2.15520484369551,3.60709382911233,489.8527395,710.3841382,0.245370208897724,1.2000000000000002,0.24333708152398567,1.1672924886149525
38,6.78,50,100,-50,0.020180082152315,2.17977856609655,3.54558909168786,489.16368,663.452992,0.6288931463887566,2.9000000000000004,0.6235449171434769,2.8612861984805775
39,6.78,50,100,0,0.027486069899101,2.16093350269111,3.49101412827898,488.3059185,610.3315457,0.7193822187800379,3.6,0.7132732821704147,3.646903708272726
40,6.78,50,100,50,0.0204560094160441,2.16459416570696,3.45116329302157,491.7471436,562.0680531,0.6509036481128946,2.6,0.6453553878936693,2.607685745000724
41,6.78,50,100,100,0.0065973502984253,2.15725731008362,3.39082865275535,490.8237584,507.7549432,0.29362365813839303,0.9,0.29119349458157584,0.9249490156900531
42,6.78,100,100,-100,0.0005797109823546,2.15990771072914,3.58778276517283,489.1760889,713.3921145,0.0033895976922553635,0.7000000000000001,0.0033629780281850892,0.7182065493517126
43,6.78,100,100,-50,0.0074494283542421,2.17339020483521,3.53515511740536,489.1625067,661.5509787,0.29866254233015227,1.2000000000000002,0.2961437876491027,1.218239146304092
44,6.78,100,100,0,0.0111291979858746,2.16191975253518,3.48278725990038,488.5733512,609.6717523,0.4458836089157992,1.6,0.44210777638514365,1.5759538093887386
45,6.78,100,100,50,0.0075516073444337,2.14961345542511,3.44191382564494,489.8806309,559.3645057,0.3242937454713994,1.1,0.32155011572961906,1.089584130503401
46,6.78,100,100,100,0.0005473883202002,2.16005358952112,3.38450366320103,489.0650143,510.4242359,0.003979951408935391,0.5,0.003949792469095263,0.5144723647749473
47,6.78,-100,150,-100,0.0011524332023383,2.16651826395797,3.59596264727238,489.1783464,710.9984997,0.013245234169981631,0.7000000000000001,0.013144362495964094,0.7299387005945919
48,6.78,-100,150,-50,0.0040133702920995,2.15132979903178,3.59263056187897,490.4362742,659.3427603,0.13272694747938235,0.9,0.13169003035838173,0.8593378568812899
49,6.78,-100,150,0,0.0053904520191987,2.15557789101521,3.52238404214182,491.5438069,609.0447463,0.21084313498674223,0.9,0.2091275949906733,0.9311398459107186
50,6.78,-100,150,50,0.0040840722838863,2.1608082841908,3.43650175323271,491.4087873,557.5390391,0.14976158537242376,0.8,0.1486530305772841,0.752241952962632
51,6.78,-100,150,100,0.0011811756098291,2.15543728925224,3.3743226741303,490.6688432,510.770819,0.017850286600454592,0.5,0.017724033164628058,0.5292033557638716
