y,0,5,10,15,20,25,30,35,40,45
73,0.068382144,0.068287412,0.067993249,0.067469932,0.066668722,0.065523815,0.063956389,0.061881539,0.059218198,0.055900825
74,0.066997862,0.066904661,0.06661545,0.06610157,0.065316001,0.064195193,0.062662862,0.060636518,0.058036869,0.054799014
75,0.065645589,0.065553853,0.065269378,0.06476452,0.063993906,0.062896151,0.061397423,0.059417597,0.056879168,0.05371797
76,0.064324577,0.064234243,0.063954303,0.063458083,0.062701787,0.061626107,0.060159582,0.058224397,0.055744842,0.052657568
77,0.063034086,0.062945098,0.062669508,0.06218157,0.061438997,0.060384478,0.05894884,0.057056527,0.054633619,0.051617657
78,0.061773392,0.061685698,0.061414286,0.060934299,0.060204896,0.059170683,0.057764698,0.055913585,0.053545212,0.050598066
79,0.060541787,0.060455337,0.060187944,0.059715601,0.058998851,0.057984145,0.056606651,0.05479516,0.052479315,0.049598603
80,0.059338572,0.059253322,0.058989802,0.058524816,0.057820238,0.056824288,0.055474194,0.053700836,0.051435614,0.048619058
81,0.058163067,0.058078975,0.05781919,0.057361296,0.05666844,0.055690543,0.054366822,0.052630189,0.050413782,0.047659207
82,0.057014602,0.056931629,0.056675453,0.056224403,0.05554285,0.054582347,0.053284032,0.051582792,0.049413481,0.046718812
83,0.055892524,0.055810635,0.055557949,0.055113513,0.054442868,0.053499142,0.052225322,0.050558215,0.048434369,0.04579762
84,0.054796193,0.054715354,0.054466049,0.054028012,0.053367907,0.052440376,0.051190192,0.049556028,0.047476095,0.044895371
85,0.053724982,0.053645162,0.053399136,0.052967296,0.052317388,0.051405506,0.050178148,0.048575799,0.046538303,0.044011792
86,0.052678278,0.05259945,0.052356608,0.051930777,0.051290742,0.050393995,0.049188699,0.047617095,0.045620633,0.043146606
87,0.051655484,0.05157762,0.051337873,0.050917877,0.05028741,0.049405314,0.048221358,0.046679488,0.044722725,0.042299526
88,0.050656015,0.050579089,0.050342355,0.049928028,0.049306845,0.048438945,0.047275645,0.045762548,0.043844213,0.04147026
89,0.049679298,0.049603288,0.049369489,0.048960677,0.04834851,0.047494376,0.046351086,0.04486585,0.042984732,0.040658512
90,0.048724775,0.04864966,0.048418724,0.048015281,0.047411878,0.046571103,0.045447213,0.043988972,0.042143918,0.039863983
91,0.047791903,0.047717661,0.047489519,0.04709131,0.046496434,0.045668634,0.044563564,0.043131495,0.041321406,0.03908637
92,0.046880147,0.04680676,0.046581349,0.046188246,0.045601671,0.044786483,0.043699684,0.042293005,0.040516832,0.038325369
93,0.045988989,0.045916439,0.045693699,0.045305581,0.044727095,0.043924177,0.042855126,0.041473094,0.039729834,0.037580674
94,0.045117921,0.045046191,0.044826066,0.044442819,0.043872222,0.043081247,0.042029451,0.040671356,0.038960054,0.03685198
95,0.04426645,0.044195524,0.04397796,0.043599477,0.043036579,0.042257239,0.041222225,0.039887392,0.038207135,0.03613898
96,0.043434092,0.043363955,0.043148903,0.042775081,0.042219703,0.041451703,0.040433024,0.03912081,0.037470725,0.035441369
97,0.042620376,0.042551015,0.042338426,0.04196917,0.04142114,0.040664203,0.039661432,0.038371221,0.036750472,0.034758844
98,0.041824844,0.041756245,0.041546075,0.041181292,0.040640449,0.039894309,0.038907039,0.037638245,0.036046034,0.034091102
99,0.041047048,0.040979197,0.040771404,0.040411008,0.039877198,0.039141601,0.038169444,0.036921506,0.035357067,0.033437843
100,0.04028655,0.040219437,0.040013979,0.039657888,0.039130963,0.038405669,0.037448255,0.036220637,0.034683235,0.03279877
101,0.039542926,0.039476539,0.039273378,0.038921512,0.038401333,0.037686112,0.036743086,0.035535274,0.034024207,0.032173586
102,0.03881576,0.038750088,0.038549187,0.038201472,0.037687904,0.036982536,0.03605356,0.034865063,0.033379656,0.031562002
103,0.038104648,0.03803968,0.037841004,0.037497369,0.036990284,0.036294558,0.035379307,0.034209654,0.032749259,0.030963727
